DATE (MM/DD/YYYY),HOUR-MST,Avg Temperature @ 2m [deg C]
1/8/2008,23,4.9709
1/9/2008,0,5.5719
1/9/2008,1,5.4256
1/9/2008,2,5.3221
1/9/2008,3,5.4588
1/9/2008,4,5.4332
1/9/2008,5,2.9968
1/9/2008,6,3.5584
1/9/2008,7,4.6130
1/9/2008,8,2.8036
1/9/2008,9,0.1900
1/9/2008,10,2.0585
1/9/2008,11,2.9114
1/9/2008,12,1.4897
1/9/2008,13,1.0676
1/9/2008,14,-1.6117
1/9/2008,15,-1.4575
1/9/2008,16,-1.2701
1/9/2008,17,-2.0647
1/9/2008,18,-2.2093
1/9/2008,19,-1.5866
1/9/2008,20,-0.2103
1/9/2008,21,-0.7886
1/9/2008,22,-1.7048
1/9/2008,23,-1.2734
1/10/2008,0,-1.0899
1/10/2008,1,-1.3001
1/10/2008,2,-1.6112
1/10/2008,3,-1.9827
1/10/2008,4,-2.2619
1/10/2008,5,-2.3596
1/10/2008,6,-2.9383
1/10/2008,7,-3.7085
1/10/2008,8,-2.6433
1/10/2008,9,-2.6157
1/10/2008,10,-0.9152
1/10/2008,11,0.5505
1/10/2008,12,2.3049
1/10/2008,13,3.0800
1/10/2008,14,2.1283
1/10/2008,15,1.4015
1/10/2008,16,2.0230
1/10/2008,17,1.4623
1/10/2008,18,1.7809
1/10/2008,19,3.0173
1/10/2008,20,2.6198
1/10/2008,21,2.5808
1/10/2008,22,2.2365
1/10/2008,23,2.0615
1/11/2008,0,2.2442
1/11/2008,1,3.2799
1/11/2008,2,2.6316
1/11/2008,3,2.7102
1/11/2008,4,2.0513
1/11/2008,5,1.6819
1/11/2008,6,1.6918
1/11/2008,7,1.8407
1/11/2008,8,1.2014
1/11/2008,9,1.5813
1/11/2008,10,2.4581
1/11/2008,11,2.9110
1/11/2008,12,3.4792
1/11/2008,13,3.6803
1/11/2008,14,3.2088
1/11/2008,15,2.7365
1/11/2008,16,1.8272
1/11/2008,17,1.1378
1/11/2008,18,0.3665
1/11/2008,19,0.2679
1/11/2008,20,-0.0051
1/11/2008,21,-0.0104
1/11/2008,22,0.1558
1/11/2008,23,0.1867
1/12/2008,0,-0.1092
1/12/2008,1,-0.3247
1/12/2008,2,-0.7785
1/12/2008,3,-0.4072
1/12/2008,4,-0.6033
1/12/2008,5,-0.7435
1/12/2008,6,-1.1719
1/12/2008,7,-1.2073
1/12/2008,8,-0.9733
1/12/2008,9,-0.8394
1/12/2008,10,0.9487
1/12/2008,11,2.0404
1/12/2008,12,2.7932
1/12/2008,13,3.3521
1/12/2008,14,3.8300
1/12/2008,15,3.1354
1/12/2008,16,2.0582
1/12/2008,17,0.5655
1/12/2008,18,-0.2398
1/12/2008,19,-0.6427
1/12/2008,20,-0.5967
1/12/2008,21,-0.5311
1/12/2008,22,-0.5631
1/12/2008,23,-0.6668
1/13/2008,0,-0.8055
1/13/2008,1,-0.9081
1/13/2008,2,-0.9168
1/13/2008,3,-0.9645
1/13/2008,4,-1.5034
1/13/2008,5,-3.6356
1/13/2008,6,-5.1360
1/13/2008,7,-4.2366
1/13/2008,8,-3.5698
1/13/2008,9,-1.8959
1/13/2008,10,0.0988
1/13/2008,11,1.1545
1/13/2008,12,1.6636
1/13/2008,13,2.2019
1/13/2008,14,2.7477
1/13/2008,15,2.8667
1/13/2008,16,1.8823
1/13/2008,17,-0.0825
1/13/2008,18,-2.4050
1/13/2008,19,-2.4954
1/13/2008,20,-2.2760
1/13/2008,21,-2.5622
1/13/2008,22,-1.5074
1/13/2008,23,-0.7173
1/14/2008,0,-0.7439
1/14/2008,1,-1.2956
1/14/2008,2,-1.1598
1/14/2008,3,-0.9599
1/14/2008,4,-1.5301
1/14/2008,5,-1.8455
1/14/2008,6,-2.2549
1/14/2008,7,-2.6357
1/14/2008,8,-2.8278
1/14/2008,9,-0.6801
1/14/2008,10,1.4573
1/14/2008,11,1.9491
1/14/2008,12,3.9319
1/14/2008,13,5.2861
1/14/2008,14,5.9982
1/14/2008,15,6.2533
1/14/2008,16,5.8471
1/14/2008,17,3.0847
1/14/2008,18,1.4153
1/14/2008,19,2.5234
1/14/2008,20,2.9930
1/14/2008,21,3.7744
1/14/2008,22,4.7930
1/14/2008,23,4.9903
1/15/2008,0,5.3685
1/15/2008,1,4.4152
1/15/2008,2,6.2383
1/15/2008,3,6.7379
1/15/2008,4,5.7556
1/15/2008,5,7.6025
1/15/2008,6,6.8714
1/15/2008,7,4.5946
1/15/2008,8,5.1816
1/15/2008,9,6.9406
1/15/2008,10,8.5725
1/15/2008,11,9.3619
1/15/2008,12,9.0053
1/15/2008,13,9.0559
1/15/2008,14,9.0146
1/15/2008,15,9.0116
1/15/2008,16,8.0849
1/15/2008,17,5.7320
1/15/2008,18,4.0880
1/15/2008,19,0.4776
1/15/2008,20,-3.8015
1/15/2008,21,-3.9919
1/15/2008,22,-4.3435
1/15/2008,23,-5.3223
1/16/2008,0,-5.5849
1/16/2008,1,-6.4140
1/16/2008,2,-8.6912
1/16/2008,3,-10.5018
1/16/2008,4,-10.8891
1/16/2008,5,-10.9627
1/16/2008,6,-10.5180
1/16/2008,7,-10.9893
1/16/2008,8,-11.2060
1/16/2008,9,-11.2254
1/16/2008,10,-10.7534
1/16/2008,11,-10.3779
1/16/2008,12,-10.0438
1/16/2008,13,-9.9353
1/16/2008,14,-9.8716
1/16/2008,15,-9.9348
1/16/2008,16,-10.4174
1/16/2008,17,-11.3568
1/16/2008,18,-12.6987
1/16/2008,19,-13.3372
1/16/2008,20,-14.6137
1/16/2008,21,-15.1141
1/16/2008,22,-14.8533
1/16/2008,23,-14.5447
1/17/2008,0,-13.6081
1/17/2008,1,-12.1611
1/17/2008,2,-12.1711
1/17/2008,3,-11.8298
1/17/2008,4,-11.1072
1/17/2008,5,-10.5714
1/17/2008,6,-10.5627
1/17/2008,7,-9.5788
1/17/2008,8,-8.4825
1/17/2008,9,-7.4535
1/17/2008,10,-6.5413
1/17/2008,11,-4.9205
1/17/2008,12,-3.8842
1/17/2008,13,-4.3371
1/17/2008,14,-4.8048
1/17/2008,15,-5.0595
1/17/2008,16,-5.4797
1/17/2008,17,-5.3816
1/17/2008,18,-5.6592
